0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
price: 11900,year make model: 1979 Volvo 242,condition: good,cylinders: 4 cylinders,drive: rwd,fuel: gas,odometer: 133000,paint color: green,size: mid-size,title status: clean,transmission: manual,type: coupe,date time: 2022-12-01 07;57,city:charlottesville,lat:38.077400,long:-78.903500,
price: 2500,year make model: 2006 volvo v70 wagon,condition: fair,cylinders: 5 cylinders,drive: fwd,fuel: gas,odometer: 183000,paint color: silver,size: full-size,title status: clean,transmission: automatic,date time: 2022-11-30 21;33,city:charlottesville,lat:38.026600,long:-78.480500,,
price: 4500,year make model: 1999 1999 dodge ram 1500,condition: good,cylinders: 8 cylinders,drive: fwd,fuel: gas,odometer: 114000,paint color: silver,size: full-size,title status: clean,transmission: automatic,type: pickup,date time: 2022-11-30 09;12,city:charlottesville,lat:37.844900,long:-78.017900,
price: 3700,year make model: 2020 Honda Super cub C125,VIN: MH3RH20Y5LK002256,condition: like new,drive: rwd,fuel: gas,odometer: 600,title status: clean,transmission: manual,date time: 2022-11-30 09;06,city:charlottesville,lat:37.682081,long:-77.638664,,,,
price: 12000,year make model: 2007 Hummer H3,fuel: gas,odometer: 130200,title status: clean,transmission: automatic,date time: 2022-11-30 08;04,city:charlottesville,lat:37.893100,long:-78.338600,,,,,,,
price: 5500,year make model: 2006 Toyota Sequoia,condition: good,cylinders: 8 cylinders,drive: 4wd,fuel: gas,odometer: 228000,paint color: black,size: full-size,title status: clean,transmission: automatic,type: SUV,date time: 2022-11-29 10;42,city:charlottesville,lat:38.102819,long:-78.556023,
price: 11000,year make model: 2012 volkswagen cc,condition: good,cylinders: 4 cylinders,fuel: gas,odometer: 112500,paint color: white,title status: clean,transmission: automatic,date time: 2022-11-29 10;32,city:charlottesville,lat:38.157400,long:-79.065100,,,,
price: 9500,year make model: 2008 Toyota Highlander Limited AWD,VIN: JTEES42AX82063762,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 174500,title status: clean,transmission: automatic,type: SUV,date time: 2022-11-29 10;22,city:charlottesville,lat:37.690232,long:-77.651024,,,
price: 22500,year make model: 2006 ‘06 Dodge Ram 2500 diesel 4X4,condition: good,cylinders: 6 cylinders,drive: 4wd,fuel: diesel,odometer: 237000,paint color: white,title status: clean,transmission: automatic,type: truck,date time: 2022-11-29 10;03,city:charlottesville,lat:37.742300,long:-78.597100,,
price: 4500,year make model: 1993 acura legend coupe,condition: good,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 203000,paint color: black,title status: clean,transmission: automatic,date time: 2022-11-29 09;31,city:charlottesville,lat:38.013200,long:-78.034700,,,
price: 26500,year make model: 2022 toyota corolla,condition: new,cylinders: 4 cylinders,fuel: gas,odometer: 850,paint color: silver,size: sub-compact,title status: clean,transmission: automatic,type: hatchback,date time: 2022-11-28 19;13,city:charlottesville,lat:37.527764,long:-78.478716,,
price: 3000,year make model: 1987 1987 toyota,condition: good,cylinders: 4 cylinders,drive: 4wd,fuel: gas,odometer: 167000,title status: clean,transmission: manual,type: truck,date time: 2022-11-28 15;43,city:charlottesville,lat:38.312100,long:-78.482000,,,
price: 2000,year make model: 2008 ford crown victoria police,condition: fair,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 117000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: sedan,date time: 2022-11-28 13;35,city:charlottesville,lat:38.019300,long:-78.525100,
price: 15000,year make model: 2016 volkswagen gti,VIN: 3VW5T7AU3GM016530,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 90000,paint color: black,title status: clean,transmission: manual,type: hatchback,date time: 2022-11-28 12;33,city:charlottesville,lat:38.053100,long:-78.339600,
price: 8950,year make model: 2013 Honda Civic Ex,VIN: 19XFB2F86DE084674,condition: excellent,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 168600,title status: clean,transmission: automatic,type: sedan,date time: 2022-11-28 08;27,city:charlottesville,lat:37.640226,long:-77.622871,,
